,price_doc
1,6000000
2,5700000
3,13100000
4,16331452
5,9100000
6,5500000
7,2000000
8,5300000
9,2000000
10,4650000
11,4800000
12,5100000
13,5200000
14,5000000
15,1850000
16,6300000
17,5900000
18,7900000
19,5200000
20,8200000
21,5200000
22,6250000
23,5750000
24,6000000
25,1050000
26,5000000
27,4700000
28,8254400
29,5900000
30,6200000
31,18300000
32,4900000
33,4400000
34,3900000
35,4850000
36,5700000
37,4300000
38,4500000
39,2000000
40,6200000
41,7500000
42,5900000
43,9550000
44,8600000
45,2312800
46,6200000
47,4833000
48,5300000
49,5150000
50,1000000
51,5098000
52,5500000
53,6000000
54,4800000
55,5500000
56,2000000
57,5000000
58,9950000
59,990000
60,14000000
61,7200000
62,8400000
63,2080000
64,5750000
65,10011000
66,1000000
67,7100000
68,2000000
69,6600000
70,5300000
71,2630000
72,2600000
73,4550000
74,7400000
75,5300000
76,8900000
77,4950000
78,7800000
79,17600000
80,1000000
81,990000
82,1000000
83,990000
84,9000000
85,6700000
86,990000
87,4000000
88,4450000
89,12500000
90,3775000
91,9500000
92,990000
93,7000000
94,6504000
95,12900000
96,500000
97,9500000
98,7100000
99,990000
100,5350000
101,8600000
102,5950000
103,2900000
104,4146000
105,5200000
106,6300000
107,1000000
108,7200000
109,13800000
110,6200000
111,6800000
112,7200000
113,6350000
114,4750000
115,6100000
116,8100000
117,6800000
118,4650000
119,5759000
120,990000
121,2000000
122,6100000
123,1200000
124,11000000
125,7950000
126,8000000
127,4950000
128,5000000
129,8300000
130,4800000
131,4850000
132,2000000
133,5900000
134,6000000
135,4700000
136,6100000
137,7450000
138,5000000
139,4750000
140,3500000
141,2000000
142,6000000
143,1000000
144,1500000
145,8150000
146,4600000
147,14103600
148,5600000
149,6200000
150,4450000
151,7050000
152,1000000
153,6800000
154,1000000
155,6450000
156,6900000
157,7000000
158,7500000
159,5200000
160,10800000
161,5250000
162,9850000
163,5700000
164,1000000
165,2000000
166,5550000
167,3000000
168,6500000
169,6400000
170,37000000
171,4450000
172,5000000
173,6000000
174,5600000
175,4300000
176,4400000
177,11900000
178,11500000
179,5050000
180,2000000
181,10239000
182,4950000
183,5300000
184,1000000
185,18000000
186,1200000
187,8300000
188,5500000
189,6150000
190,4210429
191,5500000
192,1000000
193,5000000
194,1000000
195,2000000
196,6500000
197,7200000
198,6700000
199,18100000
200,7150000
201,5700000
202,4050000
203,10600000
204,5500000
205,5750000
206,13500000
207,4850000
208,7700000
209,2000000
210,1000000
211,6197000
212,6200000
213,8590000
214,3600000
215,2825000
216,360000
217,9200000
218,3670000
219,990000
220,9200000
221,6120000
222,11640000
223,1000000
224,5700000
225,6800000
226,7500000
227,1030000
228,1100000
229,4700000
230,5000000
231,6090000
232,5360000
233,1000000
234,7500000
235,1000000
236,9000000
237,2000000
238,6350000
239,5400000
240,6000000
241,6400000
242,5500000
243,7000000
244,3100000
245,5000000
246,6170000
247,5500000
248,7400000
249,990000
250,4930000
251,14000000
252,8600000
253,5750000
254,5400000
255,5425000
256,5450000
257,6200000
258,7400000
259,4300000
260,5000000
261,4000000
262,17300000
263,5200000
264,6500000
265,5300000
266,5200000
267,4950000
268,5400000
269,4700000
270,7200000
271,1600000
272,5750000
273,4700000
274,6150000
275,2000000
276,6579000
277,6225000
278,5817420
279,13000000
280,11380040
281,4700000
282,4500000
283,5800000
284,3000000
285,4650000
286,8800000
287,5220000
288,4650000
289,7100000
290,5550000
291,4000000
292,4430000
293,1115000
294,1000000
295,6150000
296,7400000
297,23300000
298,8750000
299,5200000
300,1000000
301,5500000
302,1000000
303,4650000
304,7150000
305,5850000
306,8700000
307,8000000
308,6000000
309,6000000
310,4118916
311,10600000
312,2000000
313,6300000
314,6100000
315,5300000
316,3000000
317,1000000
318,1000000
319,6400000
320,4400000
321,5870000
322,990000
323,6300000
324,5800000
325,12500000
326,7500000
327,7245900
328,20500000
329,2000000
330,6500000
331,2000000
332,2000000
333,5800000
334,2200000
335,7538000
336,5100000
337,8750000
338,5928000
339,6400000
340,6500000
341,5300000
342,6000000
343,3750000
344,5600000
345,4600000
346,7950000
347,5156678
348,990000
349,6500000
350,5216843
351,10500000
352,900000
353,5500000
354,7500000
355,8400000
356,9150000
357,5700000
358,8500000
359,1000000
360,4650000
361,1000000
362,11500000
363,5000000
364,700000
365,1000000
366,7600000
367,7200000
368,5500000
369,4500000
370,1000000
371,8300000
372,10000000
373,999000
374,1000000
375,5250000
376,4300000
377,11500000
378,11413900
379,5700000
380,4200000
381,8000000
382,6730000
383,4700000
384,1000000
385,1000000
386,5900000
387,9300000
388,5200000
389,5900000
390,5650000
391,5500000
392,5500000
393,12100000
394,11500000
395,5500000
396,7400000
397,4500000
398,5150000
399,7000000
400,7200000
401,3900000
402,5100000
403,3700000
404,3000000
405,2000000
406,5500000
407,5800000
408,5700000
409,10900000
410,5000000
411,8600000
412,10200000
413,5300000
414,1000000
415,4900000
416,4400000
417,6300000
418,3000000
419,10400000
420,4800000
421,990000
422,9000000
423,7150000
424,11800000
425,6000000
426,4170000
427,2500000
428,4480000
429,1000000
430,12000000
431,6800000
432,3900000
433,2000000
434,8800000
435,14000000
436,4900000
437,10500000
438,11500000
439,9344000
440,5800000
441,25500000
442,4950000
443,6000000
444,5300000
445,5500000
446,998000
447,5344000
448,2000000
449,1000000
450,7700000
451,5380000
452,2000000
453,6000000
454,20792832
455,5500000
456,5890000
457,4700000
458,5500000
459,5850000
460,10700000
461,8500000
462,4950000
463,5750000
464,5600000
465,6300000
466,14200000
467,990000
468,5050000
469,2000000
470,7700000
471,5400000
472,3500000
473,6900000
474,1000000
475,6300000
476,7250000
477,6000000
478,3000000
479,5700000
480,14300000
481,5650000
482,5500000
483,4645109
484,6202000
485,5120000
486,990000
487,13186113
488,5401514
489,10500000
490,5700000
491,13200000
492,5000000
493,6391772
494,1933333
495,8500000
496,5200000
497,10600000
498,999000
499,6800000
500,5700000
501,5300000
502,12400000
503,2000000
504,5625000
505,2000000
